2018_12_13_19:09:32 7 [tesla,reboot,root] [tesla,tesla1,tesla2,tesla3,tesla4] [tesla_:0_tty1]
2018_12_13_19:19:09 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:19:13 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:19:17 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:19:22 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:19:26 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:19:30 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:19:34 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:19:38 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:19:42 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:19:46 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:19:50 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:19:55 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:19:59 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:20:03 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:20:07 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:20:11 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:20:15 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:20:19 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:20:23 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:20:28 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:20:32 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:20:36 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:20:40 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:20:44 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:20:48 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:20:52 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
2018_12_13_19:20:56 80 [gaoyu,Daniel,zale] [pi] [gaoyu18:20pts/0,gaoyu18:37pts/1,zale19:03pts/2,Tesla19:11pts/3]
